symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
META,-10,-10,0.001,0.18600000000000003,1.3478,0.3419,2.2683,7.0,2.0,0.2857,5.0,0.34,-0.7685,-0.7674
META,-10,-9,0.001,0.0693,0.3985,0.053099999999999994,2.2683,7.0,5.0,0.7143,5.0,0.26,-0.2262,-0.7674
META,-10,-8,0.001,0.07919999999999999,0.4642,0.06,2.2683,7.0,5.0,0.7143,5.0,0.31,-0.2262,-0.7674
META,-10,-7,0.001,0.08900000000000001,0.5317000000000001,0.0669,2.2683,7.0,5.0,0.7143,5.0,0.35,-0.2262,-0.7674
META,-10,-6,0.001,0.08349999999999999,0.4935,0.0623,2.2683,7.0,5.0,0.7143,5.0,0.32,-0.2262,-0.7674
META,-10,-5,0.001,0.08380000000000001,0.49560000000000004,0.0621,2.2683,7.0,5.0,0.7143,5.0,0.31,-0.2296,-0.7674
META,-10,-4,0.001,0.0788,0.4617,0.0581,2.2683,7.0,5.0,0.7143,5.0,0.28,-0.2262,-0.7674
META,-10,-3,0.001,0.0998,0.6096,0.0733,2.2683,7.0,6.0,0.8571,5.0,0.38,-0.2262,-0.7674
META,-10,-2,0.001,0.1285,0.8308,0.0943,2.2683,7.0,6.0,0.8571,5.0,0.5,-0.2262,-0.7674
META,-10,-1,0.001,0.1343,0.8783,0.0989,2.2683,7.0,6.0,0.8571,5.0,0.52,-0.2262,-0.7674
META,-10,0,0.001,0.1417,0.9404,0.1052,2.2683,7.0,6.0,0.8571,5.0,0.51,-0.2262,-0.7674
META,-10,1,0.001,0.1433,0.9544,0.10529999999999999,2.2683,7.0,5.0,0.7143,5.0,0.51,-0.2311,-0.7674
META,-10,2,0.001,0.1539,1.0466,0.114,2.2683,7.0,5.0,0.7143,5.0,0.53,-0.2262,-0.7674
META,-10,3,0.001,-0.0608,-0.26940000000000003,-0.028900000000000002,2.2683,5.0,3.0,0.6,5.0,-0.23,-0.6299,-0.7674
META,-10,4,0.001,-0.1155,-0.4587,-0.0729,2.2683,4.0,2.0,0.5,5.0,-0.35,-0.7442,-0.7674
META,-10,5,0.001,-0.11220000000000001,-0.4486,-0.071,2.2683,4.0,2.0,0.5,5.0,-0.34,-0.7442,-0.7674
META,-10,6,0.001,-0.0955,-0.39490000000000003,-0.0594,2.2683,4.0,2.0,0.5,5.0,-0.3,-0.7442,-0.7674
META,-10,7,0.001,-0.09300000000000001,-0.3864,-0.057300000000000004,2.2683,4.0,2.0,0.5,5.0,-0.29,-0.7442,-0.7674
META,-10,8,0.001,-0.048799999999999996,-0.2216,-0.026000000000000002,2.2683,4.0,2.0,0.5,5.0,-0.17,-0.7442,-0.7674
META,-10,9,0.001,-0.0207,-0.0993,0.0146,2.2683,4.0,3.0,0.75,5.0,-0.1,-0.7442,-0.7674
META,-10,10,0.001,-0.0282,-0.1333,0.0032,2.2683,4.0,3.0,0.75,5.0,-0.12,-0.7442,-0.7674
META,-9,-10,0.001,0.171,1.2029,0.3301,2.2683,7.0,2.0,0.2857,5.0,0.31,-0.7723,-0.7674
META,-9,-9,0.001,0.1291,0.8359000000000001,0.2206,2.2683,9.0,2.0,0.22219999999999998,5.0,0.23,-0.8112999999999999,-0.7674
META,-9,-8,0.001,0.1166,0.7364,0.0668,2.2683,9.0,7.0,0.7778,5.0,0.44,-0.2262,-0.7674
META,-9,-7,0.001,0.1384,0.9129999999999999,0.079,2.2683,9.0,7.0,0.7778,5.0,0.54,-0.2262,-0.7674
META,-9,-6,0.001,0.1355,0.8887,0.0768,2.2683,9.0,7.0,0.7778,5.0,0.52,-0.2262,-0.7674
META,-9,-5,0.001,0.0695,0.3996,0.0526,2.2683,8.0,6.0,0.75,5.0,0.18,-0.42219999999999996,-0.7674
META,-9,-4,0.001,0.0758,0.4413,0.057,2.2683,8.0,6.0,0.75,5.0,0.2,-0.42219999999999996,-0.7674
META,-9,-3,0.001,0.0967,0.5870000000000001,0.0702,2.2683,8.0,7.0,0.875,5.0,0.28,-0.42219999999999996,-0.7674
META,-9,-2,0.001,0.09699999999999999,0.5889,0.0688,2.2683,8.0,7.0,0.875,5.0,0.26,-0.42219999999999996,-0.7674
META,-9,-1,0.001,0.054400000000000004,0.3032,0.048799999999999996,2.2683,7.0,6.0,0.8571,5.0,0.11,-0.42219999999999996,-0.7674
META,-9,0,0.001,0.061200000000000004,0.34619999999999995,0.0562,2.2683,7.0,6.0,0.8571,5.0,0.13,-0.42219999999999996,-0.7674
META,-9,1,0.001,0.06280000000000001,0.35600000000000004,0.0548,2.2683,7.0,5.0,0.7143,5.0,0.13,-0.42219999999999996,-0.7674
META,-9,2,0.001,0.0726,0.42,0.0637,2.2683,7.0,5.0,0.7143,5.0,0.16,-0.42219999999999996,-0.7674
META,-9,3,0.001,-0.1066,-0.43090000000000006,-0.0574,2.2683,5.0,3.0,0.6,5.0,-0.33,-0.7248,-0.7674
META,-9,4,0.001,-0.1217,-0.4775,-0.0774,2.2683,4.0,2.0,0.5,5.0,-0.37,-0.7442,-0.7674
META,-9,5,0.001,-0.1185,-0.4678,-0.0756,2.2683,4.0,2.0,0.5,5.0,-0.36,-0.7442,-0.7674
META,-9,6,0.001,-0.10189999999999999,-0.41600000000000004,-0.0643,2.2683,4.0,2.0,0.5,5.0,-0.31,-0.7442,-0.7674
META,-9,7,0.001,-0.09939999999999999,-0.4078,-0.0623,2.2683,4.0,2.0,0.5,5.0,-0.31,-0.7442,-0.7674
META,-9,8,0.001,-0.0556,-0.2487,-0.0318,2.2683,4.0,2.0,0.5,5.0,-0.18,-0.7442,-0.7674
META,-9,9,0.001,-0.0276,-0.1307,0.0088,2.2683,4.0,3.0,0.75,5.0,-0.12,-0.7442,-0.7674
META,-9,10,0.001,-0.0351,-0.1635,-0.0027,2.2683,4.0,3.0,0.75,5.0,-0.13,-0.7442,-0.7674
META,-8,-10,0.001,0.1603,1.1040999999999999,0.324,2.2683,7.0,2.0,0.2857,5.0,0.29,-0.7726999999999999,-0.7674
META,-8,-9,0.001,0.12050000000000001,0.7670999999999999,0.21660000000000001,2.2683,9.0,2.0,0.22219999999999998,5.0,0.21,-0.8101999999999999,-0.7674
META,-8,-8,0.001,0.147,0.9856,0.23070000000000002,2.2683,9.0,2.0,0.22219999999999998,5.0,0.27,-0.7906,-0.7674
META,-8,-7,0.001,0.11220000000000001,0.7026,0.064,2.2683,9.0,7.0,0.7778,5.0,0.4,-0.2404,-0.7674
META,-8,-6,0.001,0.1094,0.6809999999999999,0.0621,2.2683,9.0,7.0,0.7778,5.0,0.39,-0.2404,-0.7674
META,-8,-5,0.001,0.0449,0.24559999999999998,0.0362,2.2683,8.0,6.0,0.75,5.0,0.09,-0.42219999999999996,-0.7674
META,-8,-4,0.001,0.051,0.2827,0.0405,2.2683,8.0,6.0,0.75,5.0,0.11,-0.42219999999999996,-0.7674
META,-8,-3,0.001,0.07150000000000001,0.41240000000000004,0.0536,2.2683,8.0,6.0,0.75,5.0,0.18,-0.42219999999999996,-0.7674
META,-8,-2,0.001,0.0717,0.41409999999999997,0.0521,2.2683,8.0,6.0,0.75,5.0,0.17,-0.42219999999999996,-0.7674
META,-8,-1,0.001,0.035,0.188,0.0339,2.2683,7.0,5.0,0.7143,5.0,0.05,-0.42219999999999996,-0.7674
META,-8,0,0.001,0.0418,0.2273,0.0412,2.2683,7.0,4.0,0.5714,5.0,0.07,-0.42219999999999996,-0.7674
META,-8,1,0.001,0.0433,0.2361,0.04,2.2683,7.0,4.0,0.5714,5.0,0.07,-0.42219999999999996,-0.7674
META,-8,2,0.001,0.053,0.2945,0.0484,2.2683,7.0,4.0,0.5714,5.0,0.1,-0.42219999999999996,-0.7674
META,-8,3,0.001,-0.1058,-0.4286,-0.0555,2.2683,5.0,3.0,0.6,5.0,-0.33,-0.7248,-0.7674
META,-8,4,0.001,-0.121,-0.4754,-0.0785,2.2683,4.0,2.0,0.5,5.0,-0.36,-0.7442,-0.7674
META,-8,5,0.001,-0.11779999999999999,-0.4657,-0.0766,2.2683,4.0,2.0,0.5,5.0,-0.36,-0.7442,-0.7674
META,-8,6,0.001,-0.1012,-0.41369999999999996,-0.0652,2.2683,4.0,2.0,0.5,5.0,-0.31,-0.7442,-0.7674
META,-8,7,0.001,-0.0987,-0.4054,-0.06309999999999999,2.2683,4.0,2.0,0.5,5.0,-0.3,-0.7442,-0.7674
META,-8,8,0.001,-0.0548,-0.2457,-0.0318,2.2683,4.0,2.0,0.5,5.0,-0.18,-0.7442,-0.7674
META,-8,9,0.001,-0.0268,-0.1272,0.008,2.2683,4.0,3.0,0.75,5.0,-0.11,-0.7442,-0.7674
META,-8,10,0.001,-0.034300000000000004,-0.16010000000000002,-0.0036,2.2683,4.0,3.0,0.75,5.0,-0.13,-0.7442,-0.7674
META,-7,-10,0.001,0.1499,1.0112999999999999,0.3081,2.2683,7.0,2.0,0.2857,5.0,0.26,-0.7868999999999999,-0.7674
META,-7,-9,0.001,0.09910000000000001,0.604,0.19940000000000002,2.2683,9.0,2.0,0.22219999999999998,5.0,0.16,-0.831,-0.7674
META,-7,-8,0.001,0.1249,0.8022,0.2133,2.2683,9.0,2.0,0.22219999999999998,5.0,0.22,-0.8136,-0.7674
META,-7,-7,0.001,0.13019999999999998,0.8443999999999999,0.1734,2.2683,11.0,2.0,0.1818,5.0,0.23,-0.8138,-0.7674
META,-7,-6,0.001,0.0932,0.5615,0.0435,2.2683,11.0,8.0,0.7273000000000001,5.0,0.3,-0.2404,-0.7674
META,-7,-5,0.001,0.0239,0.12560000000000002,0.0199,2.2683,9.0,7.0,0.7778,5.0,0.01,-0.42219999999999996,-0.7674
META,-7,-4,0.001,-0.0349,-0.163,-0.012,2.2683,8.0,4.0,0.5,5.0,-0.17,-0.4692,-0.7674
META,-7,-3,0.001,-0.016200000000000003,-0.0783,-0.0001,2.2683,8.0,5.0,0.625,5.0,-0.11,-0.4421,-0.7674
META,-7,-2,0.001,-0.0159,-0.07719999999999999,-0.0032,2.2683,8.0,5.0,0.625,5.0,-0.11,-0.47409999999999997,-0.7674
META,-7,-1,0.001,-0.0398,-0.1839,-0.0218,2.2683,7.0,3.0,0.4286,5.0,-0.17,-0.5504,-0.7674
META,-7,0,0.001,-0.0335,-0.15689999999999998,-0.015700000000000002,2.2683,7.0,3.0,0.4286,5.0,-0.15,-0.5728,-0.7674
META,-7,1,0.001,-0.0321,-0.1508,-0.016200000000000003,2.2683,7.0,3.0,0.4286,5.0,-0.14,-0.5452,-0.7674
META,-7,2,0.001,-0.0232,-0.1107,-0.009899999999999999,2.2683,7.0,3.0,0.4286,5.0,-0.12,-0.5482,-0.7674
